#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,OPS+,wRAA:공격공헌도 Woba scale은 1.15임,wRC:득점창출력,BB/K
80,강한울,삼성,34,122,105,32,1,13,10,11,24,1,0.383,0.305,0.368,0.362,0.73,0.336,0.54,120.9300888,4.943652174,20.95989454,0.458333333
81,백용환,KIA,52,107,91,20,5,12,10,15,29,0,0.263,0.22,0.33,0.429,0.759,0.337,0.53,108.6612464,4.428869565,18.4759018,0.517241379
82,김민성,LG,87,333,297,79,5,29,47,24,67,2,0.323,0.266,0.325,0.384,0.709,0.317,0.5,106.8810317,7.992,51.70846481,0.358208955
83,김웅빈,Hero,73,235,207,57,8,25,31,17,65,1,0.358,0.275,0.335,0.454,0.789,0.344,0.49,110.3798088,11.1573913,42.00834996,0.261538462
84,김성현,SK,133,392,343,93,2,34,25,30,27,1,0.287,0.271,0.336,0.321,0.657,0.306,0.49,110.2981206,5.658434783,57.12045943,1.111111111
85,류지혁,두산,20,31,24,10,1,10,4,1,5,0,0.45,0.417,0.467,0.625,1.092,0.464,0.48,154.2424578,4.706608696,8.776309624,0.2
86,오태곤,SK,54,203,184,53,5,29,30,12,31,14,0.324,0.288,0.342,0.429,0.771,0.344,0.47,112.6008393,9.638086957,36.28806401,0.387096774
88,최항,SK,47,155,132,35,2,21,17,21,27,1,0.317,0.265,0.368,0.333,0.701,0.328,0.46,120.840693,5.202608696,25.55111334,0.777777778
87,이해창,한화,70,135,119,32,3,11,15,9,23,0,0.305,0.269,0.336,0.387,0.723,0.326,0.46,110.5015731,4.296521739,22.01941288,0.391304348
89,유한준,KT,119,428,386,108,11,48,64,40,51,0,0.299,0.28,0.347,0.409,0.756,0.339,0.42,114.1806841,18.45982609,74.64795504,0.784313725
91,나주환,KIA,64,222,204,57,6,21,32,12,44,0,0.329,0.279,0.321,0.392,0.713,0.318,0.38,105.592495,5.521043478,34.66535335,0.272727273
90,하주석,한화,72,281,262,75,2,22,26,13,66,4,0.372,0.286,0.323,0.351,0.674,0.306,0.38,106.1227067,4.056173913,40.94604362,0.196969697
92,최정원,NC,49,48,40,11,0,18,2,7,13,4,0.407,0.275,0.383,0.4,0.783,0.363,0.35,125.9717193,3.072,9.373472406,0.538461538
93,강경학,한화,94,238,193,44,4,25,19,35,64,1,0.313,0.228,0.35,0.337,0.687,0.323,0.34,114.9436341,6.95373913,38.19853981,0.546875
94,김민하,한화,36,85,74,21,1,10,11,8,16,0,0.351,0.284,0.369,0.405,0.774,0.355,0.33,121.3909406,4.848695652,16.00755304,0.5
95,최영진,삼성,58,118,101,30,1,15,11,13,16,2,0.341,0.297,0.385,0.356,0.741,0.347,0.32,126.4926831,5.91026087,21.40138053,0.8125
96,박승욱,KT,97,128,110,29,1,23,10,11,37,5,0.384,0.264,0.349,0.355,0.704,0.327,0.32,114.6708218,4.185043478,20.98896989,0.297297297
97,손호영,LG,22,31,30,11,0,9,3,1,6,5,0.458,0.367,0.387,0.433,0.82,0.371,0.29,127.3866432,2.199652174,6.269353103,0.166666667
98,김찬형,NC,56,72,64,19,0,10,7,4,11,3,0.352,0.297,0.343,0.391,0.734,0.333,0.29,112.8119994,2.72973913,12.18194774,0.363636364
99,김성민,SK,9,16,14,4,2,4,4,1,3,0,0.222,0.286,0.375,0.714,1.089,0.444,0.24,124.3132648,2.150956522,4.251447324,0.333333333
100,이흥련,두산,2,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.24,-1,-0.503304348,-0.240742998,0
101,모창민,NC,62,149,136,41,2,10,13,8,22,0,0.342,0.301,0.34,0.434,0.774,0.34,0.23,111.9596536,6.556,26.11682059,0.363636364
102,이홍구,KT,26,43,36,7,2,2,5,3,10,0,0.208,0.194,0.293,0.389,0.682,0.305,0.23,96.39086372,0.583304348,6.228373378,0.3
103,이유찬,두산,101,108,89,23,0,30,6,14,25,13,0.354,0.258,0.368,0.303,0.671,0.324,0.22,120.7482146,3.249391304,17.42770422,0.56
104,최용제,두산,28,49,44,13,0,9,9,4,8,0,0.361,0.295,0.354,0.341,0.695,0.322,0.2,116.2691622,1.389043478,7.821796559,0.5
105,허도환,KT,52,62,53,14,0,2,5,6,15,0,0.368,0.264,0.361,0.283,0.644,0.313,0.2,118.3884664,1.272347826,9.411749683,0.4
106,류지혁,KIA,5,20,18,6,0,3,1,0,1,1,0.353,0.333,0.4,0.389,0.789,0.369,0.18,131.5189005,1.384347826,4.009961328,0
107,김인태,두산,77,110,84,17,1,15,13,21,13,0,0.225,0.202,0.37,0.298,0.668,0.329,0.18,121.3894003,3.787826087,18.22870035,1.615384615
108,이재율,NC,25,10,9,4,0,9,3,1,1,4,0.5,0.444,0.5,0.556,1.056,0.476,0.17,164.8636379,1.622608696,2.935415447,1
109,이성곤,삼성,62,154,139,39,5,16,18,11,38,2,0.347,0.281,0.329,0.439,0.768,0.337,0.17,108.3637732,6.37426087,26.59148484,0.289473684
110,김은성,Hero,16,6,4,2,0,0,0,1,1,0,0.667,0.5,0.667,0.5,1.167,0.557,0.16,219.5170129,1.396173913,2.183857964,1
111,신민재,LG,67,32,26,8,0,26,5,4,4,8,0.364,0.308,0.4,0.346,0.746,0.354,0.16,131.3863481,1.797565217,5.998546821,1
112,문상철,KT,74,172,154,40,8,24,25,11,43,0,0.305,0.26,0.314,0.461,0.775,0.334,0.16,103.5070995,6.670608696,29.25088482,0.255813953
113,신성현,두산,9,7,4,1,0,2,0,3,3,0,1,0.25,0.571,0.5,1.071,0.504,0.14,188.0002696,1.30626087,2.225225595,1
114,송준석,삼성,32,50,47,13,1,5,7,2,6,0,0.3,0.277,0.32,0.447,0.767,0.339,0.13,105.4337394,2.156521739,8.720555495,0.333333333
115,임병욱,Hero,12,41,37,10,0,3,6,4,10,3,0.37,0.27,0.341,0.378,0.719,0.321,0.13,112.1153266,1.126608696,6.509116375,0.4
116,김민식,KIA,69,238,211,53,2,22,21,17,28,0,0.279,0.251,0.31,0.318,0.628,0.29,0.12,101.7530881,0.124173913,31.36897459,0.607142857
,,,95.46551724,344.0344828,299.0431034,87.63793103,9.887931034,47.60344828,3,34.92241379,55.20689655,4.853448276,0.338663793,0.290327586,0.373327586,0.438698276,0.812025862,0.363103448,2.024568966,,,,
117,장승현,두산,23,22,20,5,0,5,43,1,6,0,0.357,0.25,0.318,0.4,0.718,0.328,0.11,104.6322577,0.738434783,3.626609635,0.166666667
118,노시환,한화,106,387,346,76,12,46,11,33,116,0,0.292,0.22,0.298,0.387,0.685,0.305,0.11,98.02619554,5.24973913,56.0553604,0.284482759
120,김호령,KIA,89,159,138,32,4,36,16,14,55,3,0.35,0.232,0.314,0.384,0.698,0.314,0.1,103.2697382,3.401217391,24.27484473,0.254545455
119,이성우,LG,72,88,77,18,3,7,0,6,14,0,0.25,0.234,0.289,0.364,0.653,0.291,0.1,95.00060074,0.122434783,11.67513419,0.428571429
121,김성윤,삼성,9,9,7,2,0,1,2,1,1,0,0.333,0.286,0.444,0.429,0.873,0.414,0.09,146.0873791,0.975130435,2.156656511,1
122,지성준,롯데,3,11,8,2,0,0,28,3,4,0,0.5,0.25,0.455,0.25,0.705,0.368,0.09,149.1468846,0.751826087,2.195913513,0.75
123,이학주,삼성,64,243,206,47,4,30,9,26,58,6,0.289,0.228,0.314,0.34,0.654,0.298,0.09,103.1341032,1.817217391,33.71842144,0.448275862
125,백승현,LG,27,39,28,7,0,5,2,4,8,0,0.35,0.25,0.364,0.286,0.65,0.318,0.08,119.3826125,0.969913043,6.089859373,0.5
124,박정현,한화,30,64,61,17,1,6,8,3,17,0,0.372,0.279,0.313,0.377,0.69,0.309,0.08,102.9198605,1.090782609,9.492745816,0.176470588
126,박성한,SK,41,112,99,24,2,7,0,11,21,1,0.289,0.242,0.324,0.323,0.647,0.302,0.08,106.3646929,1.227130435,15.93056605,0.523809524
127,김기환,NC,4,2,2,1,0,1,36,0,0,0,0.5,0.5,0.5,1,1.5,0.646,0.07,166.2323186,0.620173913,0.882735263,#DIV/0!
128,이천웅,LG,89,359,312,80,3,44,0,35,44,8,0.284,0.256,0.333,0.333,0.666,0.309,0.07,109.3502137,6.118608696,53.24837106,0.795454545
129,임지열,Hero,1,1,1,1,0,1,48,0,0,0,1,1,1,1,2,0.907,0.06,330.3820231,0.537043478,0.668324153,#DIV/0!
130,전병우,Hero,119,402,359,85,8,46,2,37,100,7,0.306,0.237,0.311,0.357,0.668,0.304,0.06,102.2016094,5.103652174,57.87848357,0.37
131,신용수,롯데,5,8,7,3,0,2,6,1,0,1,0.429,0.429,0.5,0.429,0.929,0.433,0.05,164.472146,0.998956522,2.049201923,#DIV/0!
132,김주형,Hero,39,50,43,10,1,8,0,4,10,0,0.281,0.233,0.327,0.372,0.699,0.321,0.05,107.5006392,1.373913043,7.937946799,0.4
133,허관회,한화,1,2,2,1,0,0,1,0,1,0,1,0.5,0.5,0.5,1,0.454,0.04,164.6910116,0.28626087,0.54882222,0
134,최승준,한화,2,4,3,1,0,1,35,0,2,0,1,0.333,0.5,0.333,0.833,0.422,0.04,164.176215,0.461217391,0.986340092,0
136,김민수,롯데,3,10,8,2,0,1,0,2,4,1,0.5,0.25,0.4,0.25,0.65,0.331,0.04,131.0904171,0.36173913,1.674545882,0.5
135,박용택,LG,97,236,217,65,2,22,5,15,34,2,0.341,0.3,0.339,0.396,0.735,0.328,0.04,111.5142148,7.921391304,38.90363063,0.441176471
137,이진영,KIA,32,27,22,5,0,4,0,5,9,1,0.385,0.227,0.37,0.273,0.643,0.32,0.04,121.312335,0.718434783,4.263013011,0.555555556
138,김현민,한화,4,5,5,2,0,2,19,0,1,0,0.5,0.4,0.4,0.4,0.8,0.363,0.03,131.5528092,0.32,0.976403376,0
141,권정웅,삼성,3,2,1,0,0,0,31,1,0,0,0,0,0.5,0,0.5,0.373,0.02,163.1497045,0.145391304,0.407952655,#DIV/0!
139,정진호,한화,113,326,282,78,2,30,0,29,50,9,0.328,0.277,0.348,0.355,0.703,0.324,0.02,114.3425223,9.808347826,52.60584791,0.58
140,러셀,Hero,65,271,244,62,2,22,14,22,37,2,0.288,0.254,0.317,0.336,0.653,0.299,0.02,104.106671,2.26226087,37.83932383,0.594594595
144,박민,KIA,6,2,1,0,0,1,4,1,1,0,-,0,0.5,0,0.5,0.373,0.01,163.1497045,0.145391304,0.407952655,1
143,화이트,SK,9,30,22,3,1,3,0,6,1,0,0.1,0.136,0.367,0.318,0.685,0.337,0.01,120.4661544,1.24173913,5.180159384,6
142,오선우,KIA,59,73,67,16,4,11,2,3,26,0,0.324,0.239,0.301,0.418,0.719,0.315,0.01,99.1066548,1.625043478,11.20853276,0.115384615
145,김주찬,KIA,7,18,18,6,1,3,1,0,2,0,0.333,0.333,0.333,0.5,0.833,0.357,0,109.8650102,1.058086957,3.421139109,0
148,유민상,KIA,126,456,391,96,8,38,9,53,80,0,0.287,0.246,0.341,0.366,0.707,0.325,-0.01,112.0783352,14.11617391,73.98016177,0.6625
147,김재유,롯데,68,133,116,30,1,20,65,12,35,10,0.363,0.259,0.344,0.293,0.637,0.304,-0.01,112.8382026,1.688521739,19.14885153,0.342857143
149,서예일,두산,40,29,25,6,0,4,1,3,7,0,0.316,0.24,0.31,0.32,0.63,0.291,-0.01,101.7592533,0.040347826,3.847487404,0.428571429
146,박재욱,LG,15,17,15,4,0,0,0,0,4,0,0.364,0.267,0.313,0.267,0.58,0.276,-0.01,102.580773,-0.198086957,2.03368452,0
150,한석현,LG,9,3,2,0,0,3,0,1,1,1,0,0,0.333,0,0.333,0.249,-0.01,108.3237032,-0.105391304,0.288450721,1
151,전민수,LG,4,6,5,1,0,0,16,1,2,0,0.333,0.2,0.333,0.2,0.533,0.275,-0.02,108.940226,-0.075130435,0.712553616,0.5
152,변상권,Hero,35,64,62,17,1,7,0,1,20,0,0.381,0.274,0.281,0.403,0.684,0.298,-0.03,92.49442741,0.478608696,8.880571903,0.05
154,류효승,SK,8,9,8,1,1,2,2,1,4,0,0,0.125,0.222,0.5,0.722,0.292,-0.03,73.42377584,0.020347826,1.201873902,0.25
153,윤수강,NC,4,4,4,1,0,0,0,0,2,0,0.5,0.25,0.25,0.25,0.5,0.227,-0.03,81.84550578,-0.217043478,0.308079222,0
155,문찬종,Hero,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-1,-0.251652174,-0.120371499,#DIV/0!
156,이승민,두산,3,1,1,0,0,1,0,0,1,0,-,0,0,0,0,0,-0.03,-1,-0.251652174,-0.120371499,0
157,라이블리(타),삼성,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-1,-0.251652174,-0.120371499,#DIV/0!
158,김병휘,Hero,1,1,1,0,0,1,0,0,1,0,-,0,0,0,0,0,-0.03,-1,-0.251652174,-0.120371499,0
159,김진욱(타),한화,1,1,1,0,0,0,0,0,1,0,-,0,0,0,0,0,-0.03,-1,-0.251652174,-0.120371499,0
160,박시원,NC,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.03,-1,-0.251652174,-0.120371499,#DIV/0!
164,정주후,KT,10,2,1,0,0,3,13,1,0,0,0,0,0.5,0,0.5,0.373,-0.04,163.1497045,0.145391304,0.407952655,#DIV/0!
162,양석환,LG,40,132,118,29,3,8,3,10,25,0,0.289,0.246,0.315,0.364,0.679,0.309,-0.04,103.5363854,2.24973913,19.57878825,0.4
161,유서준,SK,28,25,24,6,1,10,0,1,7,1,0.313,0.25,0.28,0.417,0.697,0.302,-0.04,92.2092846,0.273913043,3.555929921,0.142857143
163,강현우,KT,26,32,30,6,1,2,0,2,11,0,0.278,0.2,0.25,0.367,0.617,0.271,-0.04,82.20617162,-0.512,3.688981604,0.181818182
165,김호준,롯데,5,4,3,0,0,0,3,1,2,0,0,0,0.25,0,0.25,0.186,-0.04,81.07485227,-0.359652174,0.165470527,0.5
166,양찬열,두산,17,26,22,5,0,5,0,3,2,0,0.25,0.227,0.346,0.227,0.573,0.291,-0.06,113.2913489,0.036173913,3.449471466,1.5
167,백동훈,두산,27,19,16,3,0,5,1,1,4,0,0.25,0.188,0.316,0.25,0.566,0.285,-0.06,103.5132668,-0.072695652,2.421637175,0.25
168,도태훈,NC,11,13,11,2,0,0,0,2,3,0,0.25,0.182,0.308,0.182,0.49,0.254,-0.06,100.6772537,-0.400173913,1.306474863,0.666666667
169,문상인,KT,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.06,-1,-0.503304348,-0.240742998,0
170,박준혁,KT,12,2,2,0,0,2,0,0,1,0,0,0,0,0,0,0,-0.07,-1,-0.503304348,-0.240742998,0
171,박지훈,두산,10,2,2,0,0,1,0,0,2,0,-,0,0,0,0,0,-0.07,-1,-0.503304348,-0.240742998,0
172,이호연,롯데,1,2,2,0,0,0,17,0,1,0,0,0,0,0,0,0,-0.07,-1,-0.503304348,-0.240742998,0
173,이원재,NC,73,146,132,34,4,15,27,11,26,1,0.291,0.258,0.313,0.417,0.73,0.318,-0.08,103.0431651,3.630956522,22.79793509,0.423076923
174,오재원,두산,85,174,155,36,5,25,9,16,49,10,0.301,0.232,0.301,0.387,0.688,0.306,-0.08,99.01109377,2.511652174,25.35448964,0.326530612
176,김문호,한화,18,52,46,10,2,6,5,5,11,0,0.242,0.217,0.308,0.37,0.678,0.306,-0.08,101.2567852,0.750608696,7.577203802,0.454545455
