#,선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR,OPS+,wRAA:공격공헌도 Woba scale은 1.15임,wRC:득점창출력,BB/K
274,송광민,한화,94,298,277,65,9,31,17,14,69,0,0.277,0.235,0.276,0.375,0.651,0.285,-0.87,90.76661717,-1.140173913,37.98146727,0.202898551
275,김태진,KIA,45,192,180,44,0,18,14,9,23,5,0.278,0.244,0.283,0.267,0.55,0.256,-0.89,92.73179072,-5.576347826,19.6295418,0.391304348
276,호잉,한화,34,134,124,24,4,12,8,9,34,5,0.233,0.194,0.254,0.323,0.577,0.259,-0.9,83.38373424,-3.54226087,14.0493496,0.264705882
277,정상호,두산,42,92,86,14,0,3,4,2,29,0,0.241,0.163,0.18,0.233,0.413,0.185,-0.91,58.81214271,-8.352,3.725822111,0.068965517
278,정현,SK,89,128,112,17,2,14,23,11,34,0,0.197,0.152,0.24,0.241,0.481,0.229,-0.92,78.53476816,-6.722782609,10.08114381,0.323529412
279,팔카,삼성,51,217,196,41,8,17,34,18,58,2,0.248,0.209,0.272,0.367,0.639,0.282,-0.97,89.42875862,-1.396347826,27.09155867,0.310344828
280,김헌곤,삼성,97,283,254,63,3,26,29,22,31,7,0.269,0.248,0.312,0.311,0.623,0.289,-0.99,102.3881086,-0.098434783,37.05399628,0.709677419
281,김태균,한화,67,254,219,48,2,14,21,30,42,0,0.26,0.219,0.316,0.297,0.613,0.286,-1.07,103.6581496,-0.750956522,32.59433496,0.714285714
282,이재원,SK,80,251,222,41,2,18,51,19,24,0,0.198,0.185,0.266,0.248,0.514,0.24,-1.12,87.0921311,-10.78208696,22.1693625,0.791666667
283,심우준,KT,144,535,476,112,3,58,4,37,98,35,0.288,0.235,0.291,0.3,0.591,0.273,-1.14,95.45991225,-7.629565217,62.60559597,0.37755102
284,이상호,NC,82,65,61,8,0,18,8,3,5,6,0.143,0.131,0.172,0.148,0.32,0.154,-1.19,55.92372524,-7.653043478,0.880200404,0.6
287,이성규,삼성,98,245,216,39,10,25,16,18,64,3,0.201,0.181,0.257,0.361,0.618,0.273,-1.22,84.4857718,-3.493913043,28.66985236,0.28125
288,김규성,KIA,102,182,157,28,3,21,30,13,40,2,0.217,0.178,0.244,0.261,0.505,0.234,-1.22,79.90961808,-8.767652174,15.1254307,0.325
286,박계범,삼성,80,175,164,32,3,21,11,7,42,3,0.242,0.195,0.227,0.293,0.52,0.232,-1.22,74.42717178,-8.734782609,14.23933554,0.166666667
285,최인호,한화,47,135,127,30,0,8,20,4,34,0,0.316,0.236,0.261,0.236,0.497,0.231,-1.22,85.41364268,-6.855652174,10.86723897,0.117647059
289,정의윤,SK,76,203,187,45,1,13,5,12,38,0,0.291,0.241,0.286,0.294,0.58,0.264,-1.27,93.79991952,-4.483652174,22.16632487,0.315789474
290,정보근,롯데,85,152,133,20,0,9,23,11,32,0,0.196,0.15,0.219,0.165,0.384,0.191,-1.36,71.4062019,-13.00591304,6.948749574,0.34375
291,민병헌,롯데,109,342,309,72,2,42,34,21,62,10,0.283,0.233,0.291,0.291,0.582,0.27,-1.37,95.43216873,-5.769391304,39.12859959,0.338709677
292,이성열,한화,79,248,227,46,8,23,36,16,69,1,0.253,0.203,0.27,0.33,0.6,0.271,-1.58,88.65810309,-3.968,28.58960743,0.231884058
293,박찬호,KIA,141,531,480,107,3,63,,36,87,15,0.265,0.223,0.276,0.275,0.551,0.256,-2.18,90.45835577,-15.42208696,54.28795153,0.413793103
,,,,,49476.0431,,,7420.603448,,,,,,,,,,0.289724842,,,,,
